AGE,ACCESSIBILITY,EDUCATION_LEVEL,EMPLOYMENT,GENDER,MENTAL_HEALTH,MAIN_BRANCH,YEARS_CODE,YEARS_CODE_PRO,COMPUTER_SKILLS,EMPLOYED
<35,No,Other,1,Man,0,Dev,8,5,9,1
<35,No,Master,1,Man,0,Dev,10,4,26,1
<35,No,Master,0,Man,0,Dev,12,4,17,1
>35,Yes,PhD,1,Man,0,Dev,35,25,15,0
<35,No,Master,1,Man,1,NotDev,7,0,4,0
>35,No,Undergraduate,1,Man,1,Dev,28,17,17,0
>35,No,Master,1,Man,0,Dev,25,16,13,1
>35,No,Master,0,Man,0,Dev,20,15,9,0
>35,No,Master,1,Man,0,Dev,35,30,11,1
<35,No,PhD,0,Man,0,Dev,16,8,19,1
>35,No,Master,1,Man,1,NotDev,25,3,19,0
<35,No,Master,1,Man,0,Dev,10,10,14,0
<35,No,Other,1,Man,0,Dev,2,0,4,0
>35,No,Undergraduate,1,Man,0,Dev,40,36,4,0
<35,No,Undergraduate,1,Man,1,Dev,17,11,9,0
<35,No,Other,1,Man,0,Dev,10,5,26,1
>35,No,Other,1,Man,0,Dev,26,26,8,0
>35,No,Master,1,Man,1,Dev,27,5,6,0
<35,No,Undergraduate,1,Man,0,Dev,13,8,7,0
>35,No,Master,1,Man,0,Dev,38,24,8,0
<35,No,Master,1,Man,0,Dev,7,2,18,1
<35,No,Undergraduate,1,Man,1,Dev,13,8,7,0
>35,No,Master,1,Man,0,Dev,15,10,12,1
>35,No,Master,1,Man,0,Dev,33,22,8,1
>35,No,Undergraduate,1,Man,0,Dev,15,10,16,1
>35,No,Master,0,Man,1,NotDev,40,30,6,0
<35,No,Other,1,Man,1,Dev,6,3,23,1
<35,No,Master,1,Man,0,Dev,21,10,10,1
>35,No,Other,1,Man,0,Dev,17,15,8,0
<35,No,Undergraduate,1,Man,0,Dev,8,4,16,0
>35,No,PhD,1,Man,0,Dev,30,14,9,0
<35,No,Undergraduate,1,Man,0,Dev,8,4,23,1
<35,No,Undergraduate,1,Man,0,Dev,8,3,10,1
<35,No,Undergraduate,1,Man,0,Dev,4,0,12,0
<35,No,Undergraduate,1,Man,1,Dev,14,9,18,1
>35,No,Master,1,Man,0,Dev,20,15,7,0
<35,No,Master,1,Man,0,Dev,11,5,13,1
>35,No,Other,1,Man,0,NotDev,28,15,27,1
<35,No,Undergraduate,1,Man,0,Dev,7,4,9,0
<35,No,Undergraduate,1,Man,0,Dev,8,5,14,1
<35,No,Undergraduate,1,Man,0,Dev,4,3,13,1
<35,No,Other,1,Man,0,Dev,4,1,10,0
<35,No,Master,1,Man,1,Dev,13,7,7,0
<35,No,Undergraduate,1,Man,0,Dev,8,2,15,1
<35,No,Master,1,Man,0,Dev,6,3,4,0
<35,Yes,Undergraduate,1,Man,1,Dev,7,3,5,0
<35,No,Undergraduate,1,Man,0,Dev,4,0,12,1
<35,No,Undergraduate,1,Man,0,Dev,3,3,11,0
>35,Yes,Undergraduate,1,Man,1,Dev,22,17,7,1
>35,No,Other,1,Man,1,Dev,7,5,4,0
<35,No,Undergraduate,1,Man,1,Dev,5,2,21,1
<35,No,Undergraduate,1,Man,0,Dev,6,4,16,1
>35,No,Undergraduate,1,Man,0,Dev,27,20,13,1
>35,No,Undergraduate,1,Man,0,Dev,20,15,6,0
<35,No,Undergraduate,1,Woman,0,Dev,9,7,14,1
<35,No,Undergraduate,1,Man,0,Dev,8,2,16,1
>35,No,Other,1,Man,1,Dev,5,15,14,1
>35,No,Undergraduate,1,Man,0,Dev,26,16,15,1
<35,No,Undergraduate,1,Man,0,Dev,8,4,13,0
<35,No,Undergraduate,1,Man,0,Dev,4,0,14,1
<35,No,Master,1,Man,0,NotDev,15,13,2,0
<35,No,Master,1,Man,0,Dev,13,6,17,0
<35,No,Master,1,Man,1,Dev,8,0,16,1
<35,No,Undergraduate,1,Man,1,Dev,10,6,14,0
>35,No,Undergraduate,1,Man,0,Dev,22,15,18,1
<35,No,Undergraduate,1,Man,1,Dev,10,2,10,0
<35,No,Undergraduate,1,Woman,0,Dev,20,10,16,1
<35,No,Undergraduate,1,Man,1,Dev,8,5,14,1
<35,No,Undergraduate,1,Man,0,NotDev,14,13,4,0
>35,No,PhD,1,Man,0,NotDev,12,10,10,0
<35,No,Undergraduate,1,Man,1,Dev,3,1,11,0
<35,No,Other,1,Man,0,Dev,12,12,27,1
<35,No,Undergraduate,1,Man,1,Dev,8,3,15,1
<35,No,Undergraduate,1,Man,0,Dev,9,7,9,1
<35,No,Undergraduate,1,NonBinary,0,Dev,17,13,9,1
<35,No,Undergraduate,1,Man,0,Dev,8,4,27,1
>35,No,Master,1,Man,0,Dev,13,9,20,1
>35,No,Undergraduate,1,Man,0,Dev,12,12,6,0
<35,No,Other,0,Man,1,Dev,12,15,17,1
<35,No,Master,1,Man,0,Dev,6,1,9,1
>35,No,Undergraduate,1,Man,0,Dev,28,15,6,0
<35,No,Undergraduate,1,Man,0,Dev,14,6,13,1
<35,No,Undergraduate,1,Man,0,Dev,16,12,8,1
<35,No,Undergraduate,1,Man,0,Dev,8,2,27,1
<35,No,Undergraduate,1,Man,0,Dev,6,3,19,1
<35,No,Master,1,Man,0,Dev,11,10,7,0
>35,No,Master,1,Man,0,Dev,40,35,14,1
<35,No,Other,1,Man,0,Dev,12,10,24,1
<35,No,Undergraduate,1,Man,0,Dev,5,3,11,0
<35,No,Undergraduate,1,Man,0,Dev,6,3,14,1
<35,No,Undergraduate,1,Man,0,Dev,15,10,6,0
>35,No,Undergraduate,1,Man,0,Dev,24,20,11,1
<35,No,Master,1,Woman,0,Dev,7,5,15,0
<35,No,Master,1,Man,0,Dev,6,4,9,1
<35,No,Undergraduate,1,Man,0,Dev,9,5,7,0
<35,No,NoHigherEd,0,Man,0,NotDev,2,1,2,0
<35,No,Other,1,Man,0,Dev,12,8,13,0
<35,No,Undergraduate,1,Man,1,Dev,15,11,23,1
<35,No,Undergraduate,1,Man,1,Dev,11,8,21,0
>35,No,Undergraduate,1,Man,0,Dev,28,24,24,1
>35,No,Undergraduate,0,Man,0,NotDev,39,23,15,0
<35,No,Undergraduate,1,Man,0,Dev,9,5,26,1
<35,No,Undergraduate,1,Man,0,Dev,10,3,12,0
<35,No,Other,0,Man,0,Dev,8,2,6,0
<35,No,Other,0,Man,0,Dev,13,8,22,0
>35,No,Undergraduate,1,Man,0,Dev,18,5,9,1
<35,No,Other,1,Man,0,Dev,7,5,22,1
<35,No,Undergraduate,1,Man,1,Dev,10,0,10,0
<35,No,Undergraduate,1,Man,0,Dev,19,16,14,1
<35,No,NoHigherEd,0,Man,0,Dev,16,11,29,1
<35,No,Undergraduate,1,Man,0,Dev,2,2,14,0
<35,No,Undergraduate,1,Man,1,Dev,4,3,8,0
<35,No,PhD,1,Man,0,Dev,9,5,4,0
>35,No,Undergraduate,0,Man,0,NotDev,5,3,23,1
<35,No,Undergraduate,1,Man,0,Dev,20,10,17,1
<35,No,Master,1,Man,0,Dev,8,3,4,0
<35,No,Master,1,Man,0,Dev,9,5,16,1
<35,No,Master,0,Man,0,Dev,6,5,19,1
>35,No,Undergraduate,1,Man,0,Dev,30,18,11,0
>35,No,Undergraduate,1,Man,0,Dev,39,33,8,0
>35,No,Master,0,Man,0,NotDev,22,15,6,0
>35,No,Other,1,Man,0,Dev,27,19,24,1
<35,No,Undergraduate,1,Man,1,Dev,8,4,16,1
<35,No,Undergraduate,1,Man,0,Dev,12,6,13,0
<35,No,Other,1,Man,0,Dev,7,3,10,1
>35,No,Master,1,Man,1,Dev,20,14,17,1
<35,No,Undergraduate,1,Man,0,Dev,8,2,24,1
<35,No,Master,1,Man,0,Dev,12,0,26,1
<35,No,Undergraduate,1,Man,0,Dev,8,4,15,1
<35,No,Undergraduate,1,Man,0,Dev,7,2,21,1
<35,No,Master,1,Man,0,Dev,5,1,7,0
<35,No,Undergraduate,0,Man,1,Dev,17,8,17,1
>35,No,Master,0,Man,0,Dev,5,5,7,1
<35,No,Undergraduate,1,Man,0,Dev,15,11,26,1
<35,No,Undergraduate,1,Man,0,Dev,4,2,25,1
>35,Yes,Undergraduate,1,Man,0,Dev,35,32,21,0
>35,No,Other,1,Man,0,Dev,20,15,12,0
<35,No,Master,1,Woman,0,Dev,15,9,4,0
>35,No,Undergraduate,1,Man,0,Dev,29,24,5,0
<35,No,Undergraduate,0,Man,0,Dev,4,0,11,0
<35,No,Undergraduate,1,Man,0,Dev,13,9,2,0
<35,No,Master,1,Man,0,Dev,16,6,17,0
<35,No,Master,1,Man,0,Dev,12,10,15,1
<35,No,NoHigherEd,1,Man,0,Dev,5,5,24,1
<35,Yes,Other,1,Woman,1,Dev,13,3,19,0
<35,No,Undergraduate,1,Man,1,Dev,6,2,15,1
>35,No,Undergraduate,0,Man,0,Dev,25,22,23,1
<35,No,Undergraduate,1,Man,0,Dev,21,6,15,1
>35,No,Master,0,Man,0,Dev,42,37,13,1
<35,No,Master,1,Man,0,Dev,10,5,3,0
>35,No,NoHigherEd,1,Man,0,Dev,17,15,12,0
<35,No,Undergraduate,1,Man,0,Dev,16,6,27,1
<35,No,Undergraduate,1,Man,1,Dev,10,6,15,1
<35,No,Undergraduate,1,Man,0,Dev,9,1,22,1
<35,No,Undergraduate,1,Man,0,Dev,14,8,17,1
<35,No,Undergraduate,1,Man,0,Dev,6,6,15,0
<35,No,Undergraduate,1,Man,0,Dev,12,10,13,1
<35,No,Master,1,Man,0,Dev,7,5,13,1
<35,No,Master,1,Man,0,Dev,8,5,14,0
>35,No,Master,1,Man,0,Dev,36,25,6,0
<35,No,Master,1,Man,0,Dev,15,8,9,0
>35,No,Master,0,Man,0,Dev,21,18,14,1
<35,No,Undergraduate,1,Man,0,Dev,12,9,17,1
<35,No,NoHigherEd,1,Man,0,Dev,11,11,16,1
<35,No,Undergraduate,1,Man,0,Dev,6,5,8,0
>35,No,Undergraduate,1,Man,1,NotDev,22,22,18,1
<35,No,Other,1,Man,0,Dev,14,11,14,0
>35,Yes,Other,1,Man,0,Dev,21,17,12,0
>35,No,Undergraduate,1,Man,0,Dev,33,30,13,0
<35,No,Undergraduate,1,Man,0,Dev,4,1,9,0
<35,No,Undergraduate,1,Man,0,Dev,15,11,15,0
<35,No,Undergraduate,1,Man,1,Dev,4,1,13,1
>35,No,PhD,1,Man,0,Dev,11,7,8,0
<35,No,Other,1,Man,1,Dev,7,3,10,0
>35,No,Undergraduate,1,Man,1,Dev,26,20,26,1
<35,No,Other,0,Man,0,Dev,12,9,11,1
<35,No,Master,1,Man,0,Dev,11,6,7,0
<35,No,Master,1,Man,0,Dev,11,8,14,0
<35,No,Master,1,Man,0,Dev,12,8,14,1
<35,No,Undergraduate,1,Man,0,Dev,3,1,5,0
>35,No,Undergraduate,1,Man,1,Dev,30,20,11,0
<35,No,Undergraduate,1,Man,0,Dev,6,2,20,1
<35,No,Undergraduate,1,Man,0,Dev,17,16,4,0
>35,No,Master,1,Man,1,NotDev,20,14,18,1
>35,No,Undergraduate,1,Man,0,Dev,20,17,7,1
<35,No,Undergraduate,1,Man,1,Dev,15,10,13,1
<35,No,Undergraduate,1,Man,1,Dev,22,12,20,1
<35,No,Undergraduate,1,Man,0,Dev,6,6,15,1
<35,No,Master,1,Woman,0,Dev,9,4,9,0
>35,No,Master,1,Man,0,Dev,21,16,23,0
<35,No,Undergraduate,1,Man,0,Dev,7,5,9,0
>35,No,Master,1,Man,0,Dev,16,14,16,1
<35,No,Other,1,Man,0,Dev,8,1,16,1
>35,No,Master,1,Man,0,Dev,30,26,7,0
<35,No,Undergraduate,1,Man,0,Dev,12,7,13,1
<35,No,Master,1,Man,0,Dev,15,4,11,0
<35,No,Master,1,Woman,0,NotDev,3,0,2,0
>35,No,Other,0,Man,0,Dev,38,37,21,1
>35,No,Undergraduate,0,Man,0,Dev,30,25,11,1
<35,No,Undergraduate,0,Man,0,Dev,6,3,9,0
<35,No,Undergraduate,1,Man,0,Dev,5,3,9,0
<35,No,Master,1,Man,0,Dev,10,5,15,0
<35,No,Master,1,Man,1,Dev,12,9,3,0
<35,No,Undergraduate,1,Man,1,Dev,12,8,14,0
<35,No,Other,0,Man,0,Dev,7,4,9,1
<35,No,Undergraduate,1,Man,1,Dev,6,2,13,1
>35,No,Undergraduate,1,Man,0,Dev,40,27,18,1
>35,No,Undergraduate,0,Man,1,Dev,30,20,10,0
<35,No,Master,1,Man,0,Dev,16,4,7,0
>35,No,Undergraduate,0,Man,0,Dev,23,19,7,0
<35,No,Undergraduate,1,Man,0,Dev,14,6,10,1
<35,No,Undergraduate,1,Man,0,Dev,10,5,16,1
<35,No,Undergraduate,0,Man,0,Dev,11,8,10,1
>35,No,Undergraduate,1,Man,0,Dev,8,6,18,1
<35,No,Other,1,Man,0,Dev,6,1,22,1
<35,No,Undergraduate,1,Man,1,NotDev,20,8,18,1
>35,No,Other,1,Man,0,Dev,47,38,5,0
<35,No,Master,1,Man,0,Dev,12,6,7,0
<35,No,Master,1,Man,0,Dev,8,3,15,1
<35,No,Master,1,Man,0,Dev,12,6,19,1
<35,No,Undergraduate,1,Man,0,Dev,9,2,3,0
<35,No,Undergraduate,1,Man,0,Dev,11,3,20,1
<35,No,Undergraduate,0,Man,0,Dev,5,3,10,0
<35,No,Undergraduate,1,Man,1,Dev,8,1,16,1
>35,No,Undergraduate,1,Man,0,Dev,44,36,4,0
<35,No,Master,1,Man,0,NotDev,10,7,10,0
<35,No,Undergraduate,1,Man,0,Dev,0,0,6,0
<35,No,Master,1,Man,0,Dev,15,9,15,0
<35,No,Undergraduate,1,Man,0,Dev,7,5,15,0
<35,No,Undergraduate,1,Man,0,Dev,13,9,7,0
>35,No,Undergraduate,1,Man,0,Dev,17,13,9,0
<35,No,Undergraduate,1,Man,0,Dev,13,9,13,1
<35,No,Undergraduate,1,Woman,1,Dev,8,6,21,1
>35,No,Undergraduate,0,Man,0,Dev,26,11,16,0
<35,No,Master,1,Woman,0,Dev,11,6,6,0
<35,No,Other,1,Man,0,Dev,8,4,12,0
<35,Yes,Undergraduate,1,Man,0,Dev,6,5,8,0
<35,No,Undergraduate,1,Man,0,Dev,7,0,15,1
<35,No,Undergraduate,1,Man,0,Dev,12,10,10,1
<35,No,Master,1,NonBinary,0,Dev,15,13,10,0
<35,No,NoHigherEd,1,Man,0,Dev,6,3,19,1
>35,No,Other,1,Man,1,Dev,22,12,12,1
<35,No,Master,1,Man,1,Dev,9,7,20,1
<35,No,Other,1,Man,0,Dev,7,3,15,1
>35,No,Other,1,Man,0,Dev,20,14,26,1
<35,No,Master,1,Man,0,Dev,18,10,14,1
<35,No,Undergraduate,1,Man,0,Dev,2,1,11,1
>35,No,PhD,1,Man,0,NotDev,15,8,5,0
<35,No,Undergraduate,1,Man,0,Dev,8,5,26,1
>35,No,Other,1,Man,0,Dev,15,12,7,0
<35,No,Undergraduate,1,Man,0,Dev,15,7,12,1
>35,No,Master,1,Man,1,Dev,13,5,22,1
>35,No,Master,1,Man,0,NotDev,38,25,4,0
<35,No,Undergraduate,1,Man,0,Dev,16,12,15,0
<35,No,Master,1,Man,0,Dev,8,6,7,0
<35,No,Master,1,Man,0,Dev,6,5,10,1
<35,No,Master,1,Man,0,Dev,5,3,8,0
<35,No,Undergraduate,1,Man,0,NotDev,10,3,17,1
>35,No,Master,1,Man,0,Dev,21,21,24,1
<35,No,Master,0,Man,0,Dev,14,8,11,1
<35,No,Undergraduate,0,Man,0,Dev,8,4,12,0
<35,No,Other,1,Man,0,Dev,5,0,9,1
<35,No,Undergraduate,1,Man,0,Dev,6,4,16,0
<35,No,Undergraduate,1,Woman,0,Dev,4,4,17,1
<35,No,Master,1,Man,0,Dev,15,12,17,1
<35,No,PhD,1,Man,0,Dev,16,7,21,1
>35,No,PhD,1,Man,0,Dev,31,20,10,1
>35,No,Master,1,Man,0,Dev,50,40,11,0
<35,No,Undergraduate,1,Man,1,Dev,15,11,18,1
>35,No,PhD,1,Man,0,Dev,20,15,6,0
>35,No,Undergraduate,1,NonBinary,0,Dev,33,21,12,0
>35,No,Undergraduate,1,Man,0,Dev,28,14,24,1
<35,No,Other,1,Man,0,Dev,12,4,26,1
<35,No,Undergraduate,0,Man,0,NotDev,4,2,11,0
<35,No,Master,1,Man,0,Dev,11,4,11,1
<35,No,Undergraduate,1,Man,0,Dev,6,7,12,1
<35,No,Other,1,Man,1,Dev,16,6,11,0
<35,No,Undergraduate,1,Man,0,Dev,13,10,14,1
<35,No,Master,1,Man,0,NotDev,5,2,6,0
<35,No,Undergraduate,1,Man,0,Dev,3,2,21,1
>35,No,Undergraduate,1,Man,0,Dev,28,21,10,1
>35,No,Master,1,Man,0,Dev,20,18,8,0
>35,No,Undergraduate,1,Man,0,Dev,20,15,6,0
<35,No,Other,1,Man,0,Dev,5,2,21,1
<35,No,Master,1,Man,0,Dev,15,5,11,1
<35,No,NoHigherEd,0,Man,1,Dev,6,3,34,1
>35,No,Master,1,Man,0,Dev,37,20,18,1
<35,No,Master,1,Man,0,Dev,8,5,11,0
<35,No,NoHigherEd,1,Man,0,Dev,5,0,9,1
>35,No,Undergraduate,1,Man,0,Dev,16,13,9,0
<35,No,NoHigherEd,1,Man,1,Dev,9,0,7,0
>35,No,Other,1,Man,0,Dev,40,20,20,1
<35,No,NoHigherEd,1,Woman,1,NotDev,20,0,21,1
>35,No,Undergraduate,1,Man,0,Dev,40,30,16,1
<35,No,Undergraduate,1,Man,0,Dev,4,3,8,0
>35,No,Master,1,Woman,0,Dev,8,7,9,0
<35,No,Undergraduate,1,Man,0,NotDev,10,10,12,0
<35,No,Master,1,Man,0,Dev,8,5,21,1
>35,No,Master,1,Man,0,Dev,25,21,18,0
>35,No,Other,1,Man,0,Dev,22,16,10,1
<35,No,Master,1,Man,0,NotDev,10,2,7,0
>35,No,Master,1,NonBinary,0,Dev,15,10,24,1
<35,No,Undergraduate,1,Man,0,Dev,14,6,13,0
>35,No,Master,1,Man,0,Dev,30,15,5,0
>35,No,Undergraduate,0,Man,0,Dev,38,24,11,0
>35,No,Undergraduate,1,Man,0,Dev,20,14,22,1
>35,No,Master,0,Man,1,Dev,19,14,11,1
>35,No,Undergraduate,1,Man,0,Dev,5,4,23,1
<35,No,Undergraduate,1,Man,0,Dev,5,2,2,0
<35,No,Master,1,Man,1,NotDev,15,5,5,0
>35,No,Master,1,Man,1,Dev,3,1,23,1
<35,No,PhD,1,Man,0,Dev,15,6,9,0
<35,No,NoHigherEd,1,Man,1,Dev,8,4,15,1
<35,No,Undergraduate,1,Man,0,Dev,9,6,12,0
<35,No,Master,0,NonBinary,0,NotDev,15,4,13,1
<35,No,Undergraduate,1,Man,0,Dev,13,9,10,1
<35,No,Master,1,Man,0,Dev,20,15,28,1
<35,No,Other,1,Man,1,Dev,11,3,18,1
<35,No,Undergraduate,1,Man,0,Dev,10,6,22,1
<35,No,Master,0,Man,0,Dev,14,14,14,1
>35,No,Other,1,Man,1,Dev,21,12,9,1
<35,No,Undergraduate,1,Man,0,Dev,8,3,20,1
>35,No,Undergraduate,1,Man,1,Dev,12,8,13,0
<35,No,Undergraduate,1,Man,0,Dev,10,6,24,1
<35,No,Undergraduate,1,Woman,1,Dev,6,5,26,1
>35,No,Other,1,Man,0,Dev,20,20,15,1
>35,No,PhD,1,Man,0,Dev,7,3,6,0
<35,No,Master,1,Man,0,Dev,10,5,15,1
<35,No,Undergraduate,1,Man,0,Dev,4,1,16,1
<35,No,Undergraduate,1,Man,1,Dev,20,13,11,0
<35,No,Undergraduate,1,Man,0,Dev,6,1,28,1
<35,No,Other,1,Man,0,Dev,6,3,25,1
>35,No,Master,1,Man,0,Dev,20,15,16,1
>35,No,Master,1,Man,1,Dev,22,7,17,1
>35,No,Master,1,Man,0,Dev,9,5,8,1
>35,No,Undergraduate,1,Man,1,Dev,24,17,32,1
<35,No,Undergraduate,0,Man,0,Dev,10,7,19,0
<35,No,Undergraduate,1,Man,0,Dev,8,5,25,1
<35,No,Undergraduate,1,Man,0,Dev,10,5,13,0
>35,No,PhD,1,Man,0,Dev,20,9,11,0
>35,No,Undergraduate,1,Man,1,Dev,25,5,13,0
<35,No,Undergraduate,1,Man,0,Dev,5,1,6,0
>35,No,Undergraduate,1,Man,0,Dev,19,15,22,1
>35,No,Undergraduate,1,Man,0,NotDev,25,20,10,0
>35,No,Master,0,Man,0,Dev,26,25,5,0
>35,No,Undergraduate,1,Man,0,Dev,16,12,6,0
<35,No,Master,1,Man,1,Dev,5,4,15,1
<35,No,Master,1,Man,0,NotDev,8,4,15,0
>35,No,Master,0,Man,0,Dev,10,5,10,0
<35,No,NoHigherEd,1,Man,0,Dev,5,3,4,0
>35,No,Undergraduate,1,Man,0,NotDev,24,19,10,0
<35,No,Undergraduate,1,Man,0,Dev,12,10,9,1
>35,No,Undergraduate,1,Man,0,Dev,20,20,15,1
<35,No,Undergraduate,1,Man,1,Dev,6,0,12,0
<35,No,Undergraduate,1,Man,0,Dev,11,8,18,1
<35,No,Other,1,Man,1,Dev,11,10,25,1
<35,No,Undergraduate,1,Man,1,Dev,12,5,14,0
>35,No,Master,1,Man,0,Dev,27,23,6,0
<35,No,Other,1,Man,1,Dev,9,2,16,0
<35,No,Master,1,Man,0,Dev,7,2,13,1
<35,No,Undergraduate,1,Man,0,Dev,8,5,34,1
>35,No,Undergraduate,1,Man,0,Dev,37,10,18,0
<35,No,Undergraduate,1,Man,0,Dev,2,3,8,1
<35,No,Master,1,Man,0,Dev,10,4,11,1
