Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,ComputerSkills,Employed
>35,No,Master,0,Man,No,Dev,30,25,10,1
<35,No,Undergraduate,1,Woman,No,Dev,4,2,8,0
>35,No,Undergraduate,1,Man,No,Dev,38,34,5,0
<35,No,Master,1,Man,No,Dev,27,11,22,1
<35,No,Other,1,Woman,No,Dev,15,5,6,0
<35,No,Master,0,Man,No,NotDev,2,2,5,0
<35,No,Master,1,Man,No,Dev,7,5,12,1
>35,No,Undergraduate,1,Man,No,Dev,31,25,11,1
<35,No,Undergraduate,1,Man,Yes,NotDev,15,4,23,1
<35,Yes,Undergraduate,0,Man,No,Dev,20,7,19,1
>35,No,Undergraduate,1,Man,No,Dev,41,24,11,0
<35,No,Master,1,Man,No,NotDev,9,6,13,1
<35,No,Undergraduate,1,Man,No,Dev,8,7,15,1
<35,No,Master,1,Man,No,Dev,13,8,18,1
<35,No,Undergraduate,1,Man,No,NotDev,7,4,2,0
>35,No,PhD,1,Man,No,Dev,42,22,1,0
>35,No,Undergraduate,1,Man,No,Dev,8,4,6,0
<35,No,Other,0,Man,Yes,Dev,4,2,9,0
>35,No,Master,1,Man,No,NotDev,3,3,5,0
>35,No,Other,1,Man,No,Dev,16,14,17,1
>35,No,Master,0,Man,No,Dev,26,24,15,1
<35,No,Undergraduate,1,Man,No,Dev,10,6,11,0
<35,No,Undergraduate,1,Man,No,Dev,14,11,7,0
>35,No,Undergraduate,1,Man,No,Dev,24,18,12,1
>35,No,Other,1,Man,No,Dev,35,25,4,0
>35,No,Undergraduate,1,Man,No,Dev,6,3,22,0
>35,No,Undergraduate,1,Man,No,Dev,23,15,18,0
<35,No,Undergraduate,1,Man,No,Dev,7,3,5,0
>35,No,Master,1,Man,No,Dev,20,13,15,1
>35,No,Undergraduate,1,Man,No,Dev,20,18,20,1
<35,No,Undergraduate,1,Man,No,Dev,5,1,17,1
<35,No,Master,1,Man,No,Dev,10,9,15,0
<35,No,Other,1,Man,No,Dev,12,7,20,0
<35,No,Master,1,Man,No,Dev,3,2,7,0
<35,No,Undergraduate,1,Man,Yes,Dev,10,5,12,1
>35,No,Undergraduate,1,Man,No,Dev,20,20,20,1
<35,No,Undergraduate,1,Man,No,Dev,15,6,9,1
<35,No,Undergraduate,1,Man,No,Dev,10,1,32,1
<35,No,Master,1,Woman,No,NotDev,9,2,5,0
<35,No,Undergraduate,1,Man,Yes,Dev,9,4,14,0
>35,No,Master,1,Man,No,NotDev,4,2,14,0
>35,No,Undergraduate,1,Man,No,Dev,24,14,15,1
>35,No,Undergraduate,0,Man,No,Dev,21,14,19,1
>35,No,Undergraduate,1,Man,No,Dev,28,22,7,0
<35,No,PhD,1,Man,Yes,Dev,15,9,14,0
<35,No,Undergraduate,0,Man,No,Dev,10,8,29,1
>35,No,Undergraduate,1,Man,No,Dev,31,26,16,0
<35,No,Undergraduate,1,Man,No,Dev,6,2,14,1
<35,No,Undergraduate,1,Man,No,Dev,14,7,4,0
<35,No,Master,1,Man,No,Dev,15,5,20,1
>35,No,Undergraduate,1,Man,Yes,Dev,30,22,29,1
<35,No,Undergraduate,1,Man,Yes,Dev,13,3,13,1
<35,No,Other,1,Man,Yes,Dev,10,5,14,0
<35,No,Undergraduate,1,Man,Yes,Dev,12,7,16,0
<35,No,Undergraduate,0,Man,No,Dev,7,7,12,1
<35,No,Master,1,Man,No,Dev,12,9,6,0
<35,No,Undergraduate,1,Man,No,Dev,6,3,11,0
<35,No,Undergraduate,1,NonBinary,Yes,Dev,18,7,2,0
<35,No,Undergraduate,1,Man,No,NotDev,2,2,12,1
<35,No,Master,0,Man,No,Dev,5,5,7,0
>35,No,PhD,1,Man,No,NotDev,16,12,1,0
<35,No,Other,1,Man,No,NotDev,9,3,10,1
>35,No,PhD,1,Man,No,Dev,13,8,3,0
<35,No,Undergraduate,1,Man,No,Dev,6,4,11,0
<35,No,Master,1,Man,No,Dev,13,8,12,1
<35,No,Undergraduate,1,Man,No,Dev,12,3,11,0
<35,No,Master,1,Man,No,Dev,15,11,13,1
<35,No,Master,1,Man,No,Dev,10,7,25,1
<35,No,Undergraduate,1,Woman,No,Dev,7,3,13,1
<35,No,Master,1,Man,No,NotDev,6,2,5,0
<35,Yes,Undergraduate,1,Man,Yes,Dev,10,2,18,1
<35,No,Master,1,Man,No,Dev,7,7,15,1
<35,No,Undergraduate,1,Man,No,Dev,10,3,8,0
<35,No,Other,1,Man,No,Dev,4,2,10,1
>35,No,Master,1,Man,No,Dev,24,15,8,0
>35,No,Undergraduate,1,Man,No,Dev,18,13,6,0
<35,No,Undergraduate,1,Man,No,Dev,12,8,9,0
>35,No,Undergraduate,0,Man,No,Dev,37,31,17,1
<35,No,Undergraduate,1,Man,No,NotDev,20,9,7,0
<35,No,Undergraduate,1,Man,No,Dev,9,7,21,1
>35,No,Other,1,Man,No,Dev,5,0,17,1
<35,No,Other,1,Man,Yes,Dev,8,6,12,0
>35,No,Undergraduate,1,Man,Yes,Dev,24,16,13,1
<35,No,Other,1,Man,No,Dev,12,12,10,0
<35,Yes,Master,1,Woman,Yes,Dev,10,10,32,1
<35,No,Other,0,Man,No,Dev,5,3,17,1
<35,No,Undergraduate,1,Man,No,Dev,9,4,10,0
>35,No,Other,1,Man,No,Dev,30,20,10,0
<35,No,PhD,1,Man,No,NotDev,10,4,5,0
>35,No,Undergraduate,1,Man,No,NotDev,23,23,9,0
>35,No,Other,0,Man,No,Dev,20,15,17,1
<35,No,Undergraduate,1,Man,No,Dev,6,1,6,0
>35,No,Undergraduate,1,Man,No,Dev,25,15,10,1
<35,No,Undergraduate,1,Man,Yes,Dev,5,2,18,1
<35,No,Master,1,Man,No,Dev,22,13,10,1
<35,No,Undergraduate,1,Woman,Yes,Dev,21,12,22,1
<35,No,Master,1,Man,No,Dev,14,4,6,0
>35,No,Master,1,Man,No,Dev,31,21,5,0
>35,No,Undergraduate,1,Man,No,Dev,44,34,7,0
>35,No,Undergraduate,1,Man,No,Dev,40,26,13,0
>35,No,NoHigherEd,1,Man,No,Dev,22,22,6,0
>35,No,Master,1,Man,No,Dev,20,5,13,1
<35,No,Master,1,Man,No,NotDev,10,7,7,1
<35,No,Master,1,Man,No,Dev,14,10,6,0
<35,No,Undergraduate,0,Man,No,Dev,14,7,10,0
>35,No,Undergraduate,1,Man,Yes,Dev,25,15,21,1
<35,No,Undergraduate,1,Man,No,Dev,7,0,10,0
<35,No,NoHigherEd,1,Man,Yes,Dev,11,6,20,1
<35,No,Master,1,Man,No,Dev,17,11,14,0
<35,No,Undergraduate,1,Man,No,Dev,6,4,15,1
<35,No,Undergraduate,1,Man,No,Dev,18,4,3,0
>35,No,Other,1,Man,No,NotDev,41,39,6,0
<35,No,Master,1,Man,No,NotDev,14,9,9,0
<35,No,Undergraduate,1,Man,No,Dev,4,3,15,0
<35,No,Undergraduate,1,Man,No,Dev,4,2,13,0
<35,Yes,Other,1,Woman,Yes,Dev,15,4,8,0
<35,No,Undergraduate,1,Man,No,Dev,18,6,15,0
>35,No,PhD,1,Man,No,NotDev,20,13,6,0
<35,No,PhD,1,Man,No,NotDev,15,3,7,0
<35,No,Master,1,Man,Yes,Dev,11,6,10,0
<35,No,Undergraduate,1,Man,Yes,Dev,12,5,17,0
>35,No,PhD,1,Man,No,Dev,30,14,9,0
<35,No,NoHigherEd,1,Man,Yes,Dev,18,1,6,0
<35,No,Undergraduate,1,Man,No,Dev,15,8,12,1
>35,No,Undergraduate,1,Man,No,Dev,21,14,4,0
<35,No,Master,1,Man,No,Dev,8,3,8,0
<35,No,Undergraduate,0,Man,No,Dev,12,10,15,1
<35,No,Undergraduate,1,Man,No,Dev,6,1,10,0
<35,Yes,Other,1,Man,Yes,Dev,6,1,10,0
<35,No,NoHigherEd,1,NonBinary,Yes,Dev,8,7,17,0
>35,No,Master,1,Man,No,Dev,27,20,16,0
<35,No,PhD,1,Man,Yes,NotDev,13,9,17,1
<35,No,Master,0,Man,No,Dev,2,1,2,0
>35,No,Undergraduate,0,Man,No,Dev,24,20,8,0
>35,No,Master,1,Man,No,Dev,25,24,7,0
>35,No,Undergraduate,1,Man,No,Dev,42,27,2,0
<35,No,Other,0,Man,No,Dev,7,3,30,1
>35,No,Other,1,Man,No,Dev,30,21,14,1
<35,No,Other,1,Man,No,Dev,9,4,16,1
>35,Yes,Undergraduate,1,Man,No,Dev,26,16,16,0
>35,No,Other,1,Man,No,Dev,26,20,6,1
<35,No,Master,1,Man,Yes,Dev,15,6,14,1
<35,No,Undergraduate,1,Man,No,Dev,10,6,16,1
>35,No,PhD,1,Man,No,NotDev,20,6,8,0
<35,No,Undergraduate,1,Man,No,Dev,12,3,28,1
<35,Yes,Undergraduate,1,Man,No,Dev,12,4,8,0
>35,No,Master,1,Man,No,Dev,25,16,4,0
<35,No,Other,1,Man,No,Dev,6,4,22,1
>35,No,Other,1,Man,Yes,Dev,25,16,11,0
<35,No,Master,1,Man,No,Dev,8,7,10,0
>35,No,PhD,1,Man,No,Dev,35,23,9,0
<35,No,Master,1,Man,No,Dev,16,4,12,1
>35,No,Undergraduate,1,Man,Yes,Dev,14,12,7,0
<35,No,Undergraduate,0,Man,Yes,Dev,6,2,14,0
<35,No,NoHigherEd,1,Man,No,NotDev,15,1,10,0
<35,No,Master,1,Man,No,Dev,3,3,9,0
<35,No,Undergraduate,1,Man,No,Dev,12,5,7,0
<35,No,Undergraduate,1,Man,No,Dev,7,5,16,1
<35,No,Undergraduate,1,Man,No,Dev,9,7,20,1
<35,Yes,Master,1,Man,No,NotDev,20,12,2,0
<35,No,Undergraduate,1,Man,No,Dev,10,6,24,1
<35,Yes,Undergraduate,1,Woman,No,Dev,7,3,22,1
<35,No,Undergraduate,1,Man,No,Dev,9,4,8,0
<35,No,Other,1,Man,No,Dev,10,6,20,1
<35,No,Undergraduate,1,Man,No,Dev,9,4,13,1
<35,No,Undergraduate,1,Man,No,Dev,13,8,13,1
>35,No,Master,0,Man,No,Dev,15,10,13,1
<35,No,NoHigherEd,1,Man,No,Dev,8,2,9,0
<35,No,Undergraduate,1,Man,Yes,Dev,6,4,30,1
<35,No,Undergraduate,1,Man,No,Dev,8,4,20,1
<35,No,Master,1,Man,No,Dev,7,6,8,0
<35,No,Master,1,Man,No,Dev,11,7,13,1
>35,No,Undergraduate,1,Man,Yes,NotDev,22,4,5,0
<35,No,Undergraduate,1,Man,No,Dev,6,1,17,1
>35,No,Master,1,Man,No,Dev,35,30,15,1
<35,No,Other,1,Man,Yes,Dev,12,5,18,1
<35,No,Master,1,Man,No,Dev,6,2,17,1
<35,No,Undergraduate,1,Man,No,Dev,5,3,14,0
<35,No,Undergraduate,1,Man,No,Dev,10,4,15,0
>35,No,Other,1,Man,No,Dev,20,10,23,1
<35,No,Master,1,Man,No,Dev,15,12,7,0
<35,No,Undergraduate,1,Man,Yes,Dev,9,5,24,1
<35,No,Undergraduate,1,Man,No,Dev,8,5,4,0
<35,No,Undergraduate,1,Man,No,Dev,8,4,11,1
>35,No,Undergraduate,1,Man,Yes,Dev,21,19,13,1
>35,No,NoHigherEd,0,Man,No,Dev,18,17,11,1
>35,No,PhD,1,Man,No,NotDev,25,20,6,0
>35,No,Undergraduate,1,Man,No,Dev,20,15,6,0
<35,No,Undergraduate,1,Man,No,Dev,10,3,10,0
<35,No,Master,1,Man,No,Dev,12,7,8,0
<35,No,Undergraduate,1,Man,Yes,Dev,10,3,8,0
<35,No,Master,1,Man,No,Dev,12,9,10,1
>35,Yes,Undergraduate,0,Man,Yes,Dev,28,20,17,1
<35,No,Undergraduate,1,Woman,Yes,Dev,3,2,29,1
<35,No,Undergraduate,1,Man,No,Dev,18,11,29,1
>35,No,PhD,1,Man,No,Dev,39,35,5,0
<35,No,Undergraduate,1,Man,No,Dev,15,9,14,1
<35,No,Master,1,Man,No,Dev,7,2,18,1
<35,No,Undergraduate,1,Man,No,Dev,11,3,11,0
<35,No,Undergraduate,1,Man,No,Dev,16,12,26,1
<35,No,Undergraduate,1,Man,No,Dev,6,3,9,0
<35,No,Master,1,Man,No,Dev,15,6,17,0
<35,No,Other,1,Man,No,Dev,6,2,18,1
>35,No,Master,1,Man,Yes,Dev,40,21,9,1
>35,No,PhD,1,Man,No,Dev,30,10,3,0
<35,No,Undergraduate,1,Man,No,Dev,14,8,7,0
<35,No,Undergraduate,1,Man,No,Dev,6,3,6,0
<35,No,NoHigherEd,1,Man,No,Dev,6,2,12,0
<35,No,Undergraduate,0,Man,No,Dev,3,1,16,1
>35,No,Undergraduate,1,Man,No,Dev,20,13,11,0
<35,No,Master,1,Man,No,Dev,5,4,11,0
>35,No,Other,1,Man,No,Dev,23,13,8,1
<35,No,Undergraduate,1,Man,Yes,Dev,20,6,8,0
<35,No,Undergraduate,1,Man,No,Dev,13,8,9,0
>35,No,Undergraduate,1,Man,No,Dev,16,12,12,0
<35,No,Master,1,Man,No,Dev,12,6,14,1
<35,No,Undergraduate,1,Man,No,Dev,10,8,23,1
>35,No,Undergraduate,1,Man,No,Dev,22,8,14,0
<35,No,Undergraduate,1,Woman,No,Dev,1,0,4,0
<35,No,Master,1,NonBinary,No,NotDev,12,5,10,0
>35,No,Undergraduate,1,Man,No,Dev,30,21,36,1
>35,No,Master,1,Man,Yes,Dev,22,7,17,1
>35,No,Master,1,Man,No,Dev,30,17,14,1
>35,No,Other,0,Woman,No,Dev,20,17,6,0
<35,No,Master,1,Man,Yes,NotDev,13,5,11,0
<35,No,Undergraduate,1,Man,No,Dev,3,0,5,0
>35,No,Undergraduate,1,Man,No,NotDev,25,19,13,1
<35,No,Undergraduate,1,Man,No,Dev,17,10,5,0
>35,No,Other,1,Man,Yes,Dev,14,10,17,1
<35,No,Other,1,Man,No,Dev,13,10,11,0
<35,No,Other,0,Man,No,Dev,4,0,20,1
<35,No,Master,1,Man,Yes,NotDev,13,4,15,0
<35,No,Master,1,Man,No,Dev,9,5,13,1
<35,No,Other,0,Man,No,Dev,8,5,12,1
>35,No,Other,0,Man,No,Dev,34,25,11,1
<35,No,Master,1,Man,No,Dev,3,3,2,0
<35,No,Master,0,Man,No,Dev,12,6,20,1
<35,No,Undergraduate,1,Man,No,Dev,9,5,15,1
<35,No,Undergraduate,1,Man,Yes,Dev,4,0,12,0
<35,No,Undergraduate,1,Man,Yes,Dev,11,7,19,1
<35,No,Other,0,Man,No,Dev,13,8,21,1
<35,No,Undergraduate,1,Man,No,Dev,16,7,2,0
>35,No,Undergraduate,1,Man,No,Dev,40,25,7,0
<35,Yes,Master,0,Man,No,Dev,17,10,9,1
>35,No,NoHigherEd,1,Man,No,Dev,21,18,18,1
>35,No,Master,1,Man,Yes,NotDev,27,7,4,0
<35,No,Master,1,Man,No,Dev,13,6,17,1
<35,No,Undergraduate,0,Man,No,Dev,8,3,20,1
>35,No,Undergraduate,1,Man,No,Dev,36,25,8,0
<35,No,Undergraduate,1,Man,No,Dev,11,2,25,1
<35,No,Undergraduate,1,Man,Yes,Dev,17,10,18,1
<35,No,Other,1,Man,No,Dev,13,4,16,1
<35,No,Undergraduate,1,Man,No,Dev,3,1,11,0
<35,No,PhD,1,Man,No,Dev,12,10,3,0
<35,No,Other,1,Man,No,Dev,25,15,27,1
<35,No,Other,1,Man,No,Dev,4,2,12,0
<35,No,Other,1,Man,No,Dev,4,3,9,1
>35,No,Undergraduate,1,Man,No,NotDev,25,5,11,0
<35,No,Undergraduate,1,Man,No,Dev,15,9,14,1
<35,No,Undergraduate,1,Man,No,Dev,6,7,6,0
<35,No,Undergraduate,1,Man,No,Dev,10,6,14,1
<35,No,Other,1,Man,No,Dev,6,3,12,0
<35,No,NoHigherEd,0,Man,Yes,Dev,3,2,15,0
<35,No,Master,1,Man,No,Dev,7,5,16,1
<35,No,Master,0,Man,No,Dev,12,10,23,1
<35,No,Undergraduate,1,Man,No,Dev,15,8,8,1
<35,No,Master,1,Man,No,Dev,11,3,16,1
<35,No,Master,1,Man,No,Dev,20,10,17,1
<35,No,Undergraduate,1,Woman,Yes,Dev,2,1,8,0
<35,No,Master,1,Man,Yes,Dev,7,3,4,0
<35,No,Other,1,Man,No,Dev,7,5,15,1
<35,No,NoHigherEd,1,Man,No,Dev,8,0,15,1
<35,No,Undergraduate,1,Man,No,Dev,11,7,7,0
<35,No,NoHigherEd,1,Man,No,Dev,12,8,13,0
<35,No,Undergraduate,0,Man,Yes,Dev,10,5,6,0
>35,No,Undergraduate,0,Man,Yes,Dev,27,11,5,0
<35,No,PhD,1,Man,No,NotDev,10,7,4,0
>35,No,Undergraduate,1,Man,No,Dev,35,30,53,1
<35,No,PhD,1,Man,No,Dev,6,6,5,0
<35,No,Undergraduate,1,Man,Yes,Dev,4,1,7,0
<35,No,Undergraduate,1,Man,No,Dev,3,2,7,0
>35,No,Master,1,Man,No,Dev,9,9,6,1
>35,No,Undergraduate,1,Man,No,Dev,30,20,12,1
<35,No,Undergraduate,1,Man,No,Dev,3,2,5,0
<35,No,Master,0,Man,No,Dev,7,4,8,0
<35,Yes,Undergraduate,1,Man,No,Dev,5,4,28,1
>35,No,Undergraduate,0,Man,No,NotDev,9,9,3,0
<35,Yes,Undergraduate,1,Man,Yes,Dev,15,8,7,0
>35,No,NoHigherEd,1,Man,No,Dev,41,14,20,1
>35,No,Undergraduate,1,Man,Yes,Dev,45,33,29,1
<35,No,NoHigherEd,1,Man,No,Dev,9,3,13,1
>35,No,Undergraduate,1,Man,No,Dev,14,8,21,1
>35,No,Other,1,Woman,No,Dev,35,25,11,0
>35,No,Other,0,Man,No,NotDev,50,50,6,0
<35,No,Undergraduate,1,Man,No,Dev,6,2,25,1
>35,No,Other,1,Man,Yes,NotDev,25,4,3,0
<35,No,NoHigherEd,1,Man,No,Dev,3,2,26,1
<35,No,Master,0,Man,No,Dev,9,7,15,1
<35,No,Master,1,Man,No,Dev,2,1,14,0
<35,No,Master,1,Man,No,Dev,20,5,19,1
<35,No,Master,1,Man,No,Dev,10,8,20,1
<35,No,Undergraduate,1,Man,No,Dev,13,4,9,1
>35,No,Other,1,Man,No,Dev,33,20,19,1
<35,No,Other,1,Man,No,Dev,20,12,15,1
<35,No,Undergraduate,1,Man,Yes,Dev,18,13,9,1
<35,No,NoHigherEd,0,Man,No,Dev,15,9,20,1
<35,No,Master,0,Man,No,Dev,12,4,17,1
<35,No,Other,1,Man,No,Dev,18,14,21,1
<35,No,Master,1,NonBinary,No,Dev,12,7,6,0
>35,No,Undergraduate,1,Man,No,Dev,43,35,11,0
<35,No,NoHigherEd,1,Man,No,Dev,15,9,14,1
<35,No,Other,1,Man,Yes,Dev,10,4,3,0
>35,No,Master,1,Man,No,Dev,29,24,3,0
<35,No,Other,1,Man,No,Dev,4,4,11,0
<35,No,Undergraduate,1,Man,No,Dev,6,3,13,1
<35,No,Master,1,Man,No,Dev,6,1,3,0
<35,No,Undergraduate,1,Man,No,Dev,5,1,7,0
>35,No,Master,1,Man,No,Dev,20,10,17,1
<35,No,Undergraduate,0,Man,Yes,Dev,11,0,5,0
>35,No,Undergraduate,0,Man,No,Dev,14,7,13,0
<35,No,Undergraduate,0,Man,Yes,Dev,2,1,20,1
>35,No,Other,1,Man,No,Dev,35,25,29,1
>35,No,Undergraduate,1,Man,No,Dev,21,20,26,1
<35,No,Undergraduate,1,Man,No,NotDev,12,5,5,0
<35,No,Master,1,Man,No,NotDev,4,2,20,1
>35,Yes,Undergraduate,1,Man,No,Dev,22,15,10,1
<35,No,Other,1,Man,No,Dev,12,6,4,0
>35,No,Master,1,Man,No,Dev,20,16,10,0
>35,No,Master,0,Man,No,Dev,42,30,19,1
<35,No,Undergraduate,1,Man,No,Dev,10,4,14,0
>35,No,PhD,1,Man,No,NotDev,30,12,7,0
<35,No,Master,0,Man,No,Dev,10,2,7,1
<35,No,Undergraduate,1,Man,No,Dev,10,3,14,1
<35,No,Master,1,Man,No,Dev,13,4,10,0
>35,No,Undergraduate,1,Man,Yes,Dev,20,15,17,1
<35,No,Undergraduate,1,Man,No,Dev,12,8,12,0
>35,No,Undergraduate,1,Woman,Yes,Dev,20,5,9,1
<35,No,Master,1,Man,No,Dev,6,6,10,0
<35,No,Undergraduate,1,Man,No,Dev,10,5,16,1
<35,No,Master,1,Man,Yes,Dev,11,2,15,1
<35,Yes,Other,0,NonBinary,Yes,NotDev,3,1,14,0
<35,No,Undergraduate,1,Man,Yes,Dev,10,5,8,0
<35,No,Undergraduate,1,Man,No,Dev,15,7,21,0
<35,No,Master,1,Man,No,Dev,13,6,2,0
<35,No,Other,0,Man,No,Dev,8,1,21,1
<35,No,Undergraduate,1,Man,Yes,Dev,16,10,10,1
<35,No,Undergraduate,1,Man,No,Dev,4,2,8,0
>35,No,Master,1,Man,No,Dev,28,22,11,1
>35,No,Other,1,Man,No,NotDev,10,3,5,0
<35,No,Other,1,Man,Yes,Dev,17,12,13,1
<35,No,NoHigherEd,1,Man,No,Dev,12,6,15,1
<35,No,Master,1,Man,No,Dev,11,5,3,0
<35,No,PhD,1,Man,No,Dev,4,1,1,0
<35,No,Undergraduate,1,Man,No,Dev,8,3,7,0
<35,No,Undergraduate,1,Man,No,Dev,4,2,14,1
<35,No,Master,1,Woman,No,Dev,13,3,18,1
>35,No,Undergraduate,1,Man,No,Dev,27,25,10,1
<35,No,Other,0,Man,No,Dev,18,14,19,1
<35,No,NoHigherEd,1,Man,No,Dev,8,6,43,1
<35,No,Undergraduate,1,Man,No,Dev,9,1,14,0
<35,No,Undergraduate,1,Man,No,Dev,8,3,18,1
<35,No,Master,1,Man,No,Dev,16,9,15,1
<35,No,Undergraduate,1,Man,No,Dev,15,10,3,0
>35,No,Undergraduate,1,Man,No,Dev,30,8,4,0
<35,No,Master,1,Man,No,NotDev,9,4,11,0
<35,No,Undergraduate,0,Man,No,Dev,6,4,19,1
<35,No,PhD,1,Man,No,Dev,14,7,5,0
<35,No,Undergraduate,1,Man,No,Dev,21,14,11,0
<35,No,NoHigherEd,1,Man,No,Dev,9,0,24,1
<35,No,Master,1,Man,No,Dev,9,4,18,1
<35,No,Master,0,Man,No,Dev,14,4,13,0
<35,No,Undergraduate,1,Man,No,Dev,6,4,15,0
<35,No,Other,1,Man,No,Dev,4,2,5,1
<35,No,Master,1,Man,No,Dev,3,2,10,0
<35,No,Master,0,NonBinary,Yes,Dev,15,8,27,1
<35,No,Undergraduate,1,Man,Yes,Dev,8,3,11,1
<35,No,Other,0,Man,No,Dev,3,1,12,1
<35,No,Master,1,Man,No,Dev,10,2,9,0
<35,No,Undergraduate,1,Man,No,Dev,7,3,19,1
<35,No,Other,1,Man,No,Dev,8,4,23,1
<35,No,Undergraduate,1,Man,Yes,Dev,6,2,10,0
<35,No,Undergraduate,1,Man,Yes,Dev,16,15,10,0
>35,No,Other,1,Man,No,Dev,18,15,16,1
<35,No,Master,1,Man,No,Dev,13,11,15,0
<35,No,Master,1,Man,No,Dev,15,6,14,1
<35,No,Undergraduate,1,Man,No,Dev,9,2,19,1
>35,No,PhD,1,Man,No,Dev,25,24,9,1
<35,No,NoHigherEd,1,Man,No,Dev,15,7,21,1
<35,No,Other,0,Man,No,Dev,15,13,8,0
<35,No,Master,1,Man,Yes,Dev,15,6,7,0
>35,No,Master,1,Man,No,Dev,24,15,19,1
>35,No,Undergraduate,1,Man,No,Dev,12,11,11,0
<35,No,NoHigherEd,0,Man,No,Dev,15,10,10,0
<35,No,Undergraduate,1,Man,No,Dev,6,4,4,0
<35,No,Master,1,Man,No,NotDev,10,2,20,1
<35,No,Undergraduate,1,Man,No,Dev,3,0,16,1
>35,No,NoHigherEd,1,Man,No,Dev,29,21,17,0
<35,No,Undergraduate,1,Man,No,Dev,15,5,17,1
<35,No,Undergraduate,1,Man,Yes,Dev,17,5,22,1
<35,No,Master,1,Man,No,Dev,12,3,14,1
>35,No,Undergraduate,0,Man,No,Dev,26,23,14,1
>35,No,Master,1,Man,Yes,Dev,2,2,11,1
>35,No,Undergraduate,1,Man,No,Dev,14,10,33,1
>35,No,Undergraduate,1,Man,No,Dev,23,10,24,1
<35,No,Other,1,Man,Yes,Dev,10,8,17,1
<35,No,Master,1,Man,No,Dev,9,3,4,0
>35,No,Undergraduate,1,NonBinary,No,Dev,30,15,15,1
<35,No,Master,1,Man,No,Dev,10,5,10,1
